"Note","Course","Module","Clip","Time in Clip","URL"
"what is javascript , why it is important ","JavaScript Fundamentals","Introduction to JavaScript","Overview","1:01","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=0&mode=live&start=61.381068&noteid=34e4432f-744f-4e1f-8b49-2b0b5fcf15b0"
"Jsbin. ","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","0:03","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=3.846399&noteid=ffa7dadf-e7de-4c71-ba08-1cb0021ce6a7"
"Javascript is a scripting language. It is the language of the browser. Still used mainly in browser . Dynamic language. Both Object oriented and functional features. ","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","0:10","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=10.645846&noteid=b85513d6-d639-4512-a88b-27c5af46408e"
"Java syntax. Very small and compant . Is very easy to use.","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","1:07","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=67.7916&noteid=a47e4078-b4aa-45b2-9e45-72c7433aa896"
"The most used language right now. ","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","1:57","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=117.08586&noteid=a26a0df2-2516-4970-8ec7-7f015d46bb6f"
"Ajax and Rich clients is the one that put the focus on javscript ","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","2:19","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=139.922689&noteid=971123dd-f133-4bbf-b541-9f3ad659f252"
"Great :D ","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","2:38","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=158.760551&noteid=91c8c834-d9d7-4475-80c9-7918fcea8851"
"Very high usage , in server side. Due to open source java projects. ","JavaScript Fundamentals","Introduction to JavaScript","What is JavaScript?","2:52","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=1&mode=live&start=172.390526&noteid=0ed75eb3-6ae3-448c-8418-5fca41a0e775"
"Netscape 2.0 developed brendan eich ","JavaScript Fundamentals","Introduction to JavaScript","History ... and a Demo","0:27","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=2&mode=live&start=27.262126&noteid=d511bddc-41e5-4aa4-8c3b-e6e1088be371"
"ECMAScript ","JavaScript Fundamentals","Introduction to JavaScript","History ... and a Demo","0:39","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=2&mode=live&start=39.997079&noteid=b1900ac6-5dc6-4109-9028-1e18e34bb050"
"jquery , NodeJS and commonJS","JavaScript Fundamentals","Introduction to JavaScript","History ... and a Demo","1:43","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=2&mode=live&start=103.028851&noteid=eac55848-f6a6-49cf-8340-b0b39e6c15d7"
"browsers usually go top to bottom ,so best idea is to keep everything at the bottom. ","JavaScript Fundamentals","Introduction to JavaScript","History ... and a Demo","3:30","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=2&mode=live&start=210.126232&noteid=65814920-8d95-4771-a05c-0ae975a1a71e"
"Javascript is awesome. And very powerful. Easy to learn and extremely powerful ","JavaScript Fundamentals","Introduction to JavaScript","Summary","0:26","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-introduction&clip=3&mode=live&start=26.929646&noteid=88aff9b8-09ec-4ae3-9cca-f1ed8f959f47"
"variables are declared as \nvar , and it is declared at variabe scope ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Comments and Variables","1:32","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=1&mode=live&start=92.036667&noteid=2486a703-480d-4b5a-ab07-dc367a7526ba"
"without the var keyword it becomes a global keyword.","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Comments and Variables","4:10","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=1&mode=live&start=250.014521&noteid=0db51e21-acc8-41e9-a4e6-386a9cad3226"
"Null represents that a variable has no value. ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Null and Undefined","0:16","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=2&mode=live&start=16.670255&noteid=c041133f-2916-486c-a21c-d625734ea4a7"
"Undefined means that a variable has no value. Unlike null. ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Null and Undefined","1:52","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=2&mode=live&start=112.750199&noteid=a087aca2-0e8c-490b-9d65-d3ad42342bb3"
"usually we get non-existent object properties we get undefined. ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Null and Undefined","3:24","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=2&mode=live&start=204.743672&noteid=d23d2153-934e-412a-a387-347817945502"
"Everything in javascript is an objec. Collections of properties. You can think of it as a hash or hashtable. It's the most powerful features of javascript ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","0:12","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=12.162157&noteid=c8615c10-1820-42d6-a7b3-ab0360e58d03"
"object literals , object.toString() is always exists. ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","3:16","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=196.683352&noteid=85b94594-8639-41e7-9049-8e42eee6506e"
"toString can be used in boolean objects ,arrays and regex. ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","4:21","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=261.006835&noteid=727c76c7-e09a-4df5-864a-403103ab29b3"
"toString() on a function is the value of the fucntion ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","4:40","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=280.555248&noteid=f9f580d9-eb7c-4b6b-8303-e484c006d01b"
"It can be overridden ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","5:11","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=311.523739&noteid=4a2c4651-8a98-4d28-88c8-982de9485f0a"
"There is no limit to nesting of objects it's unlimited ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","5:36","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=336.571959&noteid=fd2d147c-c91c-47d2-96f4-2143ba1333d6"
"All objects are not equal even if their values match. Only primitives can be matched.  ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Equality","0:29","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=5&mode=live&start=29.626223&noteid=a00c85c3-dd29-4392-9c06-1a15e376d1cb"
"functions are the best part of javascript ","JavaScript Fundamentals","Functions","Overview","0:21","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=0&mode=live&start=21.103701&noteid=c017ba9a-9ae2-41cf-9338-28046a593bf6"
"There a bunch of syntaxes while declaring functions. ","JavaScript Fundamentals","Functions","Overview","0:48","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=0&mode=live&start=48.250463&noteid=99397833-6898-40a0-b40d-566d585df790"
"Arguments object . Special variable. ","JavaScript Fundamentals","Functions","Overview","1:13","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=0&mode=live&start=73.788443&noteid=71c03520-609a-4dba-b372-7accf0c1c66d"
"Fucntions are just objects and they can be invoked\n\nways to declare functions \n\n//Standard \nfunction sqaure(x) \n{\nreturn x*x; \n} \n\n// assign to variable with name \nvar sqaure = function sqaure(x) \n{ \nreturn x*x;\n} \n// anonymous assin to variable \n\nvar square = function (x) \n{\nreturn x*x;\n} \n\nanonymous and call imidiately \n(function(x)\n{\nreturn x*x;\n})(2);","JavaScript Fundamentals","Functions","Meet the Function","0:17","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=1&mode=live&start=17.411363&noteid=f6a73eda-0bda-45b8-8fe0-d50090228b25"
"Invocation of functions \nlast parameter is ignored. There is no function OVERLOADING in JAVASCRIPT \nparameter flexibility is provided. IN JAVASCRIPT objects are passed by reference and primitives are passed by value\n","JavaScript Fundamentals","Functions","Invocation","0:02","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=2&mode=live&start=2.554305&noteid=fe240007-1e84-42ba-8625-7a06398790c6"
"Arguments variable is the coolest thing. By default there is an arguments parameter. If there are no parameters to the function then the arguments variable would read that and it would hold the values passed to that function \n\n","JavaScript Fundamentals","Functions","Arguments Object","1:18","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=3&mode=live&start=78.076448&noteid=d76610db-7065-4fdf-ae80-4a93d6216ccf"
"Recursion is supported in javascript , functions can call itself . It would be great to that , there should be an exit in the function . \n","JavaScript Fundamentals","Functions","Recursion","0:02","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=4&mode=live&start=2.590602&noteid=4308ed44-a7bd-402d-bae0-a723c8361703"
"Nesting is allowed in javascript . \nInner functions has access to outer scope variables. ","JavaScript Fundamentals","Functions","Closure","0:07","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=5&mode=live&start=7.107591&noteid=e143d530-3023-4018-a81f-21441b21c4ae"
"for...in statement \niterate over property key of an object \nfor(var propertyKey in tom) \n{ \nwrite(propertyKey) ;\nwrite(tom[propertyKey];\n} \n\nwhile(keepGoing) \n{ \nkeepGoing = false; \n} \n\n","JavaScript Fundamentals","Control Flow","Iteration","1:29","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-control-flow&clip=2&mode=live&start=89.332274&noteid=dde59992-54a5-4ce9-9f46-78ab7f6695b1"